SDD21_Lower	ILD_Upper	ILD_Lower	SDD11_Upper
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
-17.04	1.068	-1.068	-9.31671842700025
-17.04	1.07	-1.07	-9.30927519058526
-17.04	1.072	-1.072	-9.30185248735359
-17.04	1.074	-1.074	-9.29445014830626
-17.04	1.076	-1.076	-9.28706800674989
-17.04	1.078	-1.078	-9.27970589825291
-17.04	1.08	-1.08	-9.27236366060283
-17.04	1.082	-1.082	-9.26504113376453
-17.04	1.084	-1.084	-9.25773815983958
-17.04	1.086	-1.086	-9.2504545830265
-17.04	1.088	-1.088	-9.24319024958196
-17.04	1.09	-1.09	-9.23594500778295
-17.04	1.092	-1.092	-9.2287187078898
-17.04	1.094	-1.094	-9.22151120211004
-17.04	1.096	-1.096	-9.21432234456318
-17.04	1.098	-1.098	-9.20715199124621
-17.04	1.1	-1.1	-9.2
-17.04	1.102	-1.102	-9.19286623047636
-17.04	1.104	-1.104	-9.18575054410594
-17.04	1.106	-1.106	-9.17865280406682
-17.04	1.108	-1.108	-9.17157287525381
-17.04	1.11	-1.11	-9.16451062424844
-17.04	1.112	-1.112	-9.15746591928962
-17.04	1.114	-1.114	-9.150438630245
-17.04	1.116	-1.116	-9.14342862858286
-17.04	1.118	-1.118	-9.13643578734473
-17.04	1.12	-1.12	-9.12945998111853
-17.04	1.122	-1.122	-9.12250108601237
-17.04	1.124	-1.124	-9.11555897962881
-17.04	1.126	-1.126	-9.10863354103981
-17.04	1.128	-1.128	-9.10172465076211
-17.04	1.13	-1.13	-9.09483219073321
-17.04	1.132	-1.132	-9.08795604428779
-17.04	1.134	-1.134	-9.08109609613471
-17.04	1.136	-1.136	-9.07425223233444
-17.04	1.138	-1.138	-9.06742434027696
-17.04	1.14	-1.14	-9.06061230866019
-17.04	1.142	-1.142	-9.05381602746875
-17.04	1.144	-1.144	-9.04703538795332
-17.04	1.146	-1.146	-9.04027028261025
-17.04	1.148	-1.148	-9.03352060516174
-17.04	1.15	-1.15	-9.0267862505363
-17.04	1.152	-1.152	-9.02006711484973
-17.04	1.154	-1.154	-9.01336309538639
-17.04	1.156	-1.156	-9.00667409058085
-17.04	1.158	-1.158	-9
-17.04	1.16	-1.16	-8.99334072432542
-17.04	1.162	-1.162	-8.98669616533613
-17.04	1.164	-1.164	-8.9800662258917
-17.04	1.166	-1.166	-8.97345080991569
-17.04	1.168	-1.168	-8.96684982237938
-17.04	1.17	-1.17	-8.96026316928587
-17.04	1.172	-1.172	-8.95369075765444
-17.04	1.174	-1.174	-8.94713249550525
-17.04	1.176	-1.176	-8.94058829184433
-17.04	1.178	-1.178	-8.93405805664882
-17.04	1.18	-1.18	-8.92754170085256
-17.04	1.182	-1.182	-8.92103913633187
-17.04	1.184	-1.184	-8.9145502758917
-17.04	1.186	-1.186	-8.90807503325194
-17.04	1.188	-1.188	-8.90161332303407
-17.04	1.19	-1.19	-8.895165060748
-17.04	1.192	-1.192	-8.88873016277919
-17.04	1.194	-1.194	-8.88230854637602
-17.04	1.196	-1.196	-8.87590012963734
-17.04	1.198	-1.198	-8.86950483150029
-17.04	1.2	-1.2	-8.86312257172838
-17.04	1.202	-1.202	-8.85675327089966
-17.04	1.204	-1.204	-8.85039685039528
-17.04	1.206	-1.206	-8.8440532323881
-17.04	1.208	-1.208	-8.83772233983162
-17.04	1.21	-1.21	-8.83140409644903
-17.04	1.212	-1.212	-8.82509842672249
-17.04	1.214	-1.214	-8.81880525588263
-17.04	1.216	-1.216	-8.81252450989815
-17.04	1.218	-1.218	-8.80625611546574
-17.04	1.22	-1.22	-8.8
-17.04	1.222	-1.222	-8.79375609162372
-17.04	1.224	-1.224	-8.7875243191582
-17.04	1.226	-1.226	-8.78130461211378
-17.04	1.228	-1.228	-8.77509690068058
-17.04	1.23	-1.23	-8.7689011157193
-17.04	1.232	-1.232	-8.76271718875227
-17.04	1.234	-1.234	-8.75654505195463
-17.04	1.236	-1.236	-8.75038463814562
-17.04	1.238	-1.238	-8.74423588078006
-17.04	1.24	-1.24	-8.73809871393998
-17.04	1.242	-1.242	-8.73197307232636
-17.04	1.244	-1.244	-8.72585889125102
-17.04	1.246	-1.246	-8.71975610662865
-17.04	1.248	-1.248	-8.713664654969
-17.04	1.25	-1.25	-8.70758447336913
-17.04	1.252	-1.252	-8.70151549950587
-17.04	1.254	-1.254	-8.69545767162834
-17.04	1.256	-1.256	-8.68941092855063
-17.04	1.258	-1.258	-8.6833752096446
-17.04	1.26	-1.26	-8.67735045483277
-17.04	1.262	-1.262	-8.67133660458135
-17.04	1.264	-1.264	-8.66533359989339
-17.04	1.266	-1.266	-8.65934138230199
-17.04	1.268	-1.268	-8.6533598938637
-17.04	1.27	-1.27	-8.64738907715196
-17.04	1.272	-1.272	-8.64142887525067
-17.04	1.274	-1.274	-8.63547923174785
-17.04	1.276	-1.276	-8.62954009072946
-17.04	1.278	-1.278	-8.62361139677317
-17.04	1.28	-1.28	-8.61769309494245
-17.04	1.282	-1.282	-8.61178513078052
-17.04	1.284	-1.284	-8.60588745030457
-17.04	1.286	-1.286	-8.6
-17.04	1.288	-1.288	-8.59412272681472
-17.04	1.29	-1.29	-8.5882555781536
-17.04	1.292	-1.292	-8.58239850187299
-17.04	1.294	-1.294	-8.57655144627526
-17.04	1.296	-1.296	-8.57071436010355
-17.04	1.298	-1.298	-8.56488719253647
-17.04	1.3	-1.3	-8.55906989318295
-17.04	1.302	-1.302	-8.55326241207718
-17.04	1.304	-1.304	-8.54746469967359
-17.04	1.306	-1.306	-8.54167670684188
-17.04	1.308	-1.308	-8.53589838486225
-17.04	1.31	-1.31	-8.5301296854205
-17.04	1.312	-1.312	-8.52437056060345
-17.04	1.314	-1.314	-8.51862096289416
-17.04	1.316	-1.316	-8.51288084516746
-17.04	1.318	-1.318	-8.5071501606854
-17.04	1.32	-1.32	-8.50142886309282
-17.04	1.322	-1.322	-8.49571690641295
-17.04	1.324	-1.324	-8.49001424504315
-17.04	1.326	-1.326	-8.48432083375061
-17.04	1.328	-1.328	-8.4786366276682
-17.04	1.33	-1.33	-8.47296158229032
-17.04	1.332	-1.332	-8.46729565346886
-17.04	1.334	-1.334	-8.46163879740917
-17.04	1.336	-1.336	-8.45599097066613
-17.04	1.338	-1.338	-8.45035213014023
-17.04	1.34	-1.34	-8.44472223307377
-17.04	1.342	-1.342	-8.43910123704703
-17.04	1.344	-1.344	-8.4334890999746
-17.04	1.346	-1.346	-8.42788578010165
-17.04	1.348	-1.348	-8.42229123600034
-17.04	1.35	-1.35	-8.41670542656622
-17.04	1.352	-1.352	-8.41112831101473
-17.04	1.354	-1.354	-8.40555984887772
-17.04	1.356	-1.356	-8.4
-17.04	1.358	-1.358	-8.39444872453601
