SDD21_Lower	SDD11_Upper	ILD_Upper	ILD_Lower	NEXT_Upper	FEXT_Upper	SDD21_offset
-10.27	-8.13735841683441	1.444	-1.444	-1	-1	.771755
-10.27	-8.13218407883726	1.446	-1.446	-1	-1	.772216
-10.27	-8.12701665379258	1.448	-1.448	-1	-1	.773258
-10.27	-8.12185611406694	1.45	-1.45	-1	-1	.774462
-10.27	-8.11670243221048	1.452	-1.452	-1	-1	.776607
-10.27	-8.11155558095528	1.454	-1.454	-1	-1	.777249
-10.27	-8.10641553321364	1.456	-1.456	-1	-1	.778356
-10.27	-8.10128226207642	1.458	-1.458	-1	-1	.779129
-10.27	-8.09615574081137	1.46	-1.46	-1	-1	.782082
-10.27	-8.09103594286159	1.462	-1.462	-1	-1	.782153
-10.27	-8.08592284184381	1.464	-1.464	-1	-1	.784234
-10.27	-8.08081641154692	1.466	-1.466	-1	-1	.785993
-10.27	-8.07571662593028	1.468	-1.468	-1	-1	.787027
-10.27	-8.0706234591223	1.47	-1.47	-1	-1	.787441
-10.27	-8.0655368854188	1.472	-1.472	-1	-1	.789348
-10.27	-8.06045687928156	1.474	-1.474	-1	-1	.790464
-10.27	-8.0553834153368	1.476	-1.476	-1	-1	.790981
-10.27	-8.0503164683737	1.478	-1.478	-1	-1	.793186
-10.27	-8.04525601334296	1.48	-1.48	-1	-1	.794854
-10.27	-8.04020202535533	1.482	-1.482	-1	-1	.797112
-10.27	-8.0351544796802	1.484	-1.484	-1	-1	.797626
-10.27	-8.03011335174416	1.486	-1.486	-1	-1	.799506
-10.27	-8.02507861712964	1.488	-1.488	-1	-1	.799489
-10.27	-8.02005025157352	1.49	-1.49	-1	-1	.800331
-10.27	-8.01502823096575	1.492	-1.492	-1	-1	.800131
-10.27	-8.010012531348	1.494	-1.494	-1	-1	.801454
-10.27	-8.00500312891236	1.496	-1.496	-1	-1	.803159
-10.27	-8	1.498	-1.498	-1	-1	.804185
-10.27	-7.99500312109984	1.5	-1.5	-1	-1	.807243
-10.27	-7.99001246884732	1.502	-1.502	-1	-1	.808496
-10.27	-7.98502802002305	1.504	-1.504	-1	-1	.813002
-10.27	-7.98004975155164	1.506	-1.506	-1	-1	.811026
