SDD21_Lower	SDD11_Upper	SCD22_Upper	SCC11_Upper	SCD21-SDD21_Upper
-17.16	-12.9786366276682	-19.5950349107836	-2	-10
-17.16	-12.9729615822903	-19.5872769588829	-2	-10
-17.16	-12.9672956534689	-19.5795190069822	-2	-10
-17.16	-12.9616387974092	-19.5717610550815	-2	-10
-17.16	-12.9559909706661	-19.5640031031808	-2	-10
-17.16	-12.9503521301402	-19.5562451512801	-2	-10
-17.16	-12.9447222330738	-19.5484871993794	-2	-10
-17.16	-12.939101237047	-19.5407292474787	-2	-10
-17.16	-12.9334890999746	-19.532971295578	-2	-10
-17.16	-12.9278857801017	-19.5252133436773	-2	-10
-17.16	-12.9222912360003	-19.5174553917766	-2	-10
-17.16	-12.9167054265662	-19.5096974398759	-2	-10
-17.16	-12.9111283110147	-19.5019394879752	-2	-10
-17.16	-12.9055598488777	-19.4941815360745	-2	-10
-17.16	-12.9	-19.4864235841738	-2	-10
-17.16	-12.894448724536	-19.4786656322731	-2	-10
-17.16	-12.8889059829464	-19.4709076803724	-2	-10
-17.16	-12.883371735995	-19.4631497284717	-2	-10
-17.16	-12.877845944745	-19.455391776571	-2	-10
-17.16	-12.8723285705566	-19.4476338246703	-2	-10
-17.16	-12.866819575083	-19.4398758727696	-2	-10
-17.16	-12.8613189202679	-19.4321179208689	-2	-10
-17.16	-12.8558265683423	-19.4243599689682	-2	-10
-17.16	-12.8503424818211	-19.4166020170675	-2	-10
-17.16	-12.8448666235006	-19.4088440651668	-2	-10
-17.16	-12.8393989564554	-19.4010861132661	-2	-10
-17.16	-12.8339394440353	-19.3933281613654	-2	-10
-17.16	-12.8284880498628	-19.3855702094647	-2	-10
-17.16	-12.82304473783	-19.377812257564	-2	-10
-17.16	-12.8176094720956	-19.3700543056633	-2	-10
-17.16	-12.8121822170828	-19.3622963537626	-2	-10
-17.16	-12.8067629374761	-19.3545384018619	-2	-10
-17.16	-12.8013515982186	-19.3467804499612	-2	-10
-17.16	-12.7959481645096	-19.3390224980605	-2	-10
-17.16	-12.7905526018017	-19.3312645461598	-2	-10
